type,N_fishermen,wages,mean_loss,p95,p99,max_loss,run_name,std_loss,observed_events,recall,threshold,observed_events_2024,mean_predicted_events_2024,n_predicted_events_2024,source_file,avg_yearly_observed_loss
tp,4606,12,2215135.944,3039960.0,3426864.0,3758496,run_g7,473550.66357915,349,0.8064756308608685,1.288127783916666,31.0,0.3852459016393442,141.0,aep_breakdown_run_g7_swh_max_swan_thresh0.85.xlsx,2755704.0
fp,4606,12,6187258.224,7243395.599999998,7572264.0,8235528,run_g7,608564.2076209175,349,0.8064756308608685,1.288127783916666,,,,aep_breakdown_run_g7_swh_max_swan_thresh0.85.xlsx,2755704.0
fn,4606,12,531550.824,939624.0,1105440.0,1823976,run_g7,216364.5341127396,349,0.8064756308608685,1.288127783916666,,,,aep_breakdown_run_g7_swh_max_swan_thresh0.85.xlsx,2755704.0
tp,3290,12,2680494.6,3474240.0,3711909.599999999,4066440,run_g9,433810.8564796837,507,0.9361470369246891,1.80459727275,55.0,0.3442622950819672,126.0,aep_breakdown_run_g9_swh_max_swan_thresh0.85.xlsx,2859480.0
fp,3290,12,3685576.44,4305293.999999998,4540200.0,4737600,run_g9,386368.1616381642,507,0.9361470369246891,1.80459727275,,,,aep_breakdown_run_g9_swh_max_swan_thresh0.85.xlsx,2859480.0
fn,3290,12,182831.88,355320.0,434280.0,513240,run_g9,96454.15518949354,507,0.9361470369246891,1.80459727275,,,,aep_breakdown_run_g9_swh_max_swan_thresh0.85.xlsx,2859480.0
tp,3290,12,3000835.32,3790080.0,4066834.8,4698120,run_g10,460752.2700737083,574,0.9322139913657771,1.772023312225,49.0,0.4043715846994536,148.0,aep_breakdown_run_g10_swh_max_swan_thresh0.85.xlsx,3237360.0
fp,3290,12,4234940.64,4974480.0,5251234.8,5606160,run_g10,446116.7710169317,574,0.9322139913657771,1.772023312225,,,,aep_breakdown_run_g10_swh_max_swan_thresh0.85.xlsx,3237360.0
fn,3290,12,218205.96,434280.0,592200.0,750120,run_g10,124954.5947263309,574,0.9322139913657771,1.772023312225,,,,aep_breakdown_run_g10_swh_max_swan_thresh0.85.xlsx,3237360.0
tp,5236,12,2748460.176,3832752.0,4273204.319999999,4900896,run_g4,637867.087863486,384,0.795949560565533,1.811830576121807,22.0,0.2158469945355191,79.0,aep_breakdown_run_g4_swh_max_swan_thresh0.85.xlsx,3446784.0
fp,5236,12,5043964.464,6157536.0,6534528.0,7162848,run_g4,651285.4732304614,384,0.795949560565533,1.811830576121807,,,,aep_breakdown_run_g4_swh_max_swan_thresh0.85.xlsx,3446784.0
fn,5236,12,704598.048,1193808.0,1507968.0,1884960,run_g4,289692.0547183107,384,0.795949560565533,1.811830576121807,,,,aep_breakdown_run_g4_swh_max_swan_thresh0.85.xlsx,3446784.0
tp,14424,12,989717.184,2077056.0,2424962.879999998,3461760,run_g3,586867.1600358632,50,0.7313891020721413,1.28785625,8.0,0.07333333333333333,11.0,aep_breakdown_run_g3_swh_max_swan_thresh0.85.xlsx,1236342.857142857
fp,14424,12,11971804.608,14885568.0,15924096.0,18866592,run_g3,1747420.569178049,50,0.7313891020721413,1.28785625,,,,aep_breakdown_run_g3_swh_max_swan_thresh0.85.xlsx,1236342.857142857
fn,14424,12,363484.8,1038528.0,1384704.0,1557792,run_g3,332747.699674223,50,0.7313891020721413,1.28785625,,,,aep_breakdown_run_g3_swh_max_swan_thresh0.85.xlsx,1236342.857142857
tp,2109,12,92045.196,202464.0,278388.0,404928,run_g1,67957.71266321416,47,0.6029509283819628,0.1716413548373023,15.0,0.1939890710382514,71.0,aep_breakdown_run_g1_anom_swh_mean_swan_thresh0.85.xlsx,169925.14285714287
fp,2109,12,1654940.736,2051213.399999999,2227104.0,2556108,run_g1,250162.9476595125,47,0.6029509283819628,0.1716413548373023,,,,aep_breakdown_run_g1_anom_swh_mean_swan_thresh0.85.xlsx,169925.14285714287
fn,2109,12,60612.66,151848.0,202464.0,278388,run_g1,47092.17977116793,47,0.6029509283819628,0.1716413548373023,,,,aep_breakdown_run_g1_anom_swh_mean_swan_thresh0.85.xlsx,169925.14285714287
tp,3853,12,1290261.816,1849440.0,2126856.0,2727924,run_g5,340182.912916164,213,0.9294254787676935,1.7472943468,37.0,0.407103825136612,149.0,aep_breakdown_run_g5_swh_max_swan_thresh0.85.xlsx,1406895.4285714286
fp,3853,12,6452927.34,7397760.0,7721412.0,8276244,run_g5,569047.1130875662,213,0.9294254787676935,1.7472943468,,,,aep_breakdown_run_g5_swh_max_swan_thresh0.85.xlsx,1406895.4285714286
fn,3853,12,97974.084,231180.0,369888.0,462360,run_g5,82294.97579002747,213,0.9294254787676935,1.7472943468,,,,aep_breakdown_run_g5_swh_max_swan_thresh0.85.xlsx,1406895.4285714286
tp,3948,12,171880.128,379008.0,568512.0,663264,run_g1,125260.9847394531,47,0.6014588859416445,0.2857525651993584,15.0,0.2650273224043716,97.0,aep_breakdown_run_g1_anom_swh_max_swan_thresh0.85.xlsx,169925.14285714287
fp,3948,12,3758764.464,4500720.0,4832352.0,5353488,run_g1,461279.9459355706,47,0.6014588859416445,0.2857525651993584,,,,aep_breakdown_run_g1_anom_swh_max_swan_thresh0.85.xlsx,169925.14285714287
fn,3948,12,113891.904,284256.0,379008.0,521136,run_g1,88509.14962215854,47,0.6014588859416445,0.2857525651993584,,,,aep_breakdown_run_g1_anom_swh_max_swan_thresh0.85.xlsx,169925.14285714287
tp,3948,12,3917426.688,4832352.0,5163984.0,5353488,run_g8,522521.6293109559,620,0.9362636864929741,1.742758559233333,60.0,0.546448087431694,200.0,aep_breakdown_run_g8_swh_max_swan_thresh0.85.xlsx,4196160.0
fp,3948,12,6443515.008,7390656.0,7864416.0,8527680,run_g8,558254.9241959603,620,0.9362636864929741,1.742758559233333,,,,aep_breakdown_run_g8_swh_max_swan_thresh0.85.xlsx,4196160.0
fn,3948,12,266679.504,521136.0,663264.0,805392,run_g8,145397.0734988017,620,0.9362636864929741,1.742758559233333,,,,aep_breakdown_run_g8_swh_max_swan_thresh0.85.xlsx,4196160.0
tp,2827,12,746124.456,1187340.0,1390884.0,1696200,run_g6,245109.2180897826,270,0.5776645479855018,1.6651830412,37.0,0.3715846994535519,136.0,aep_breakdown_run_g6_swh_max_swan_thresh0.85.xlsx,1308497.142857143
fp,2827,12,4267910.592,4986828.0,5224296.0,5529612,run_g6,419424.6748003758,270,0.5776645479855018,1.6651830412,,,,aep_breakdown_run_g6_swh_max_swan_thresh0.85.xlsx,1308497.142857143
fn,2827,12,545497.92,882024.0,1018059.24,1153416,run_g6,203718.2429375708,270,0.5776645479855018,1.6651830412,,,,aep_breakdown_run_g6_swh_max_swan_thresh0.85.xlsx,1308497.142857143
