time,sea_wave_height
2013-01-01 21:00:00,0.99333334
2013-01-02 00:00:00,0.98
2013-01-02 03:00:00,0.9766667
2013-01-02 06:00:00,0.9566667
2013-01-02 09:00:00,0.9166667
2013-01-02 12:00:00,0.87999994
2013-01-02 15:00:00,0.8666666
2013-01-02 18:00:00,0.8666666
2013-01-02 21:00:00,0.8833334
2013-01-03 00:00:00,0.9066667
2013-01-03 03:00:00,0.9433333
2013-01-03 06:00:00,0.97
2013-01-03 09:00:00,1.0
2013-01-03 12:00:00,1.0266666
2013-01-03 15:00:00,1.0566667
2013-01-03 18:00:00,1.0966667
2013-01-03 21:00:00,1.15
2013-01-04 00:00:00,1.1933333
2013-01-04 03:00:00,1.13
2013-01-04 06:00:00,1.18
2013-01-04 09:00:00,1.2333333
2013-01-04 12:00:00,1.2733333
2013-01-04 15:00:00,1.3
2013-01-04 18:00:00,1.3233333
2013-01-04 21:00:00,1.34
2013-01-05 00:00:00,1.3533334
2013-01-05 03:00:00,1.36
2013-01-05 06:00:00,1.37
2013-01-05 09:00:00,1.38
2013-01-05 12:00:00,1.3866667
2013-01-05 15:00:00,1.39
2013-01-05 18:00:00,1.4
2013-01-05 21:00:00,1.4000001
2013-01-06 00:00:00,1.3866667
2013-01-06 03:00:00,1.3766667
2013-01-06 06:00:00,1.3566667
2013-01-06 09:00:00,1.33
2013-01-06 12:00:00,1.3133334
2013-01-06 15:00:00,1.3000001
2013-01-06 18:00:00,1.29
2013-01-06 21:00:00,1.2633333
2013-01-07 00:00:00,1.2466667
2013-01-07 03:00:00,1.2266667
2013-01-07 06:00:00,1.2066667
2013-01-07 09:00:00,1.1999999
2013-01-07 12:00:00,1.2133334
2013-01-07 15:00:00,1.2333333
2013-01-07 18:00:00,1.2733333
2013-01-07 21:00:00,1.32
2013-01-08 00:00:00,1.36
2013-01-08 03:00:00,1.3833333
2013-01-08 06:00:00,1.4066666
2013-01-08 09:00:00,1.4433333
2013-01-08 12:00:00,1.4833332
2013-01-08 15:00:00,1.5066667
2013-01-08 18:00:00,1.5333334
2013-01-08 21:00:00,1.5333333
2013-01-09 00:00:00,1.5300001
2013-01-09 03:00:00,1.5266666
2013-01-09 06:00:00,1.5266666
2013-01-09 09:00:00,1.5333334
2013-01-09 12:00:00,1.5966667
2013-01-09 15:00:00,1.5799999
2013-01-09 18:00:00,1.5666667
2013-01-09 21:00:00,1.5366668
2013-01-10 00:00:00,1.5466666
2013-01-10 03:00:00,1.5866666
2013-01-10 06:00:00,1.62
2013-01-10 09:00:00,1.65
2013-01-10 12:00:00,1.68
2013-01-10 15:00:00,1.7133335
2013-01-10 18:00:00,1.7433333
2013-01-10 21:00:00,1.7666668
2013-01-11 00:00:00,1.7766666
2013-01-11 03:00:00,1.7733332
2013-01-11 06:00:00,1.7633333
2013-01-11 09:00:00,1.7466666
2013-01-11 12:00:00,1.7333332
2013-01-11 15:00:00,1.7133332
2013-01-11 18:00:00,1.6833334
2013-01-11 21:00:00,1.6466666
2013-01-12 00:00:00,1.61
