run,N_FISHERMEN,WAVE_THRESHOLD,min_duration,Year,Events,Avg_Obs_Duration,Avg_Predicted_Events,P99_Predicted_Events,TP_Events,FP_Events,FN_Events,Precision,Recall,F1_Score,Avg_Pred_Duration_Actual,Total_Obs_Days,Total_Pred_Days,Avg_Rate,Avg_Coverage,Avg_Duration,P99_Duration,Obs_Cost,Avg_Full_Cost,P99_Full_Cost,Avg_Capped_Cost,P99_Capped_Cost,Reliable_Events,Unreliable_Events,Reliable_Cost,Unreliable_Cost,run_name,mindur,source_file
run_g10,3290,1.65,3,2018,14,5.285714285714286,29.525,37.0,4.0,23.0,10.0,0.1481481481481481,0.2857142857142857,0.1951219512195122,8.962962962962964,74.0,242.0,0.169375,0.8079922011332903,11.176249887951618,33.480714285714285,2921520,6177336.838068618,18505460.4,4138815.681505975,12398658.468,11.0,3.0,1974000.0,947520.0,run_g10,3,yearly_summary_run_g10_mindur3.csv
run_g10,3290,1.65,3,2019,17,4.411764705882353,28.472,35.0,10.0,15.0,7.0,0.4,0.5882352941176471,0.4761904761904762,7.24,75.0,181.0,0.1714705882352941,0.8298294604724227,10.196172285621284,30.47823529411764,2961000,6843262.991217582,20455772.4,4584986.204115779,13705367.508,16.0,1.0,2842560.0,118440.0,run_g10,3,yearly_summary_run_g10_mindur3.csv
run_g10,3290,1.65,3,2020,16,5.0625,28.493,35.0,9.0,21.0,7.0,0.3,0.5625,0.3913043478260869,7.8,81.0,234.0,0.164484375,0.8195377966440196,10.12430661751796,31.164375,3197880,6395322.004153744,19685912.4,4284865.742783009,13189561.308000002,13.0,3.0,2842560.0,355320.0,run_g10,3,yearly_summary_run_g10_mindur3.csv
run_g10,3290,1.65,3,2021,16,4.9375,28.472,35.0,8.0,19.0,8.0,0.2962962962962963,0.5,0.3720930232558139,7.962962962962963,79.0,215.0,0.178734375,0.8258280882259753,11.21691675629242,34.479375000000005,3118920,7085501.976614797,21779931.600000005,4747286.324331913,14592554.172000002,14.0,2.0,2882040.0,236880.0,run_g10,3,yearly_summary_run_g10_mindur3.csv
run_g10,3290,1.65,3,2022,12,4.833333333333333,28.472,35.0,5.0,20.0,7.0,0.2,0.4166666666666667,0.2702702702702703,8.36,58.0,209.0,0.161375,0.8214230491541784,10.219393582974552,29.086666666666645,2289840,4841539.903870024,13780099.19999999,3243831.7355929166,9232666.463999992,11.0,1.0,2171400.0,118440.0,run_g10,3,yearly_summary_run_g10_mindur3.csv
run_g10,3290,1.65,3,2023,14,4.785714285714286,29.262,36.00999999999999,7.0,22.0,7.0,0.2413793103448276,0.5,0.3255813953488372,6.758620689655173,67.0,196.0,0.168625,0.8080308126356526,9.857848635931571,30.27785714285715,2645160,5448630.098052098,16735177.200000005,3650582.1656949064,11212568.724000003,11.0,3.0,2289840.0,355320.0,run_g10,3,yearly_summary_run_g10_mindur3.csv
run_g10,3290,1.65,3,2024,7,5.0,28.499,35.0,6.0,23.0,1.0,0.2068965517241379,0.8571428571428571,0.3333333333333332,5.827586206896552,35.0,169.0,0.143,0.7839396464963896,9.853865899697867,30.072857142857156,1381800,2723214.380040502,8310934.8000000045,1824553.634627137,5568326.316000003,5.0,2.0,1105440.0,276360.0,run_g10,3,yearly_summary_run_g10_mindur3.csv
run_g10,3290,1.65,5,2018,6,8.0,18.074,24.0,2.0,20.0,4.0,0.0909090909090909,0.3333333333333333,0.1428571428571428,10.181818181818182,48.0,224.0,0.1638333333333333,0.7587323119679934,13.10614972064038,37.57833333333332,1895040,3104584.7458252925,8901555.599999996,2080071.7797029456,5964042.251999998,5.0,1.0,1184400.0,710640.0,run_g10,5,yearly_summary_run_g10_mindur5.csv
run_g10,3290,1.65,5,2019,6,6.333333333333333,17.714,23.0,3.0,16.0,3.0,0.1578947368421052,0.5,0.2399999999999999,8.473684210526315,38.0,161.0,0.1643333333333333,0.7868423429234657,12.639241781606634,34.936666666666646,1500240,2993983.5932269795,8275797.599999996,2005969.007462076,5544784.391999997,6.0,0.0,1500240.0,0.0,run_g10,5,yearly_summary_run_g10_mindur5.csv
run_g10,3290,1.65,5,2020,6,8.0,17.72,23.0,4.0,13.0,2.0,0.2352941176470588,0.6666666666666666,0.3478260869565218,10.941176470588236,48.0,186.0,0.172125,0.7674186771710129,11.6389568425925,33.16333333333332,1895040,2757036.096873312,7855730.399999997,1847214.184905119,5263339.367999998,6.0,0.0,1895040.0,0.0,run_g10,5,yearly_summary_run_g10_mindur5.csv
