rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful,run,source_file,combination_id,type,description,features,thresholds,f1_score,mean_loss,max_loss,zero_prob,std_loss,min_loss,p99_loss,mean_events,std_events,p99_events,max_events,mean_tp,mean_fp,mean_fn,p99_tp,p99_fp,p99_fn,mean_tp_cost,mean_fp_cost,mean_fn_cost,p99_tp_cost,p99_fp_cost,p99_fn_cost,obs_tp,obs_fp,obs_tn,obs_fn,obs_precision,obs_recall,obs_accuracy,obs_f1,method,rule_features,min_days,n_fishermen,daily_wage,n_simulations,block_length,window_days,trigger_features,trigger_thresholds,n_jobs,obs_mean_yearly_loss,obs_yearly_losses_by_year,rule_description
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_detrended_rolling_mean_3 > t2,6.0,0.459575569358178,0.3283553409289109,0.5347222222222222,0.4421626984126984,0.973972602739726,23.0,29.0,2110.0,28.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_detrended_persistence_3 > t2,6.0,0.459575569358178,0.3283553409289109,0.5347222222222222,0.4421626984126984,0.973972602739726,23.0,29.0,2110.0,28.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_detrended_persistence_5 > t2,6.0,0.4499999999999999,0.3209361307176242,0.5936507936507937,0.3886904761904762,0.9789954337899544,18.0,13.0,2126.0,33.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_detrended_rolling_mean_5 > t2,6.0,0.4499999999999999,0.3209361307176242,0.5936507936507937,0.3886904761904762,0.9789954337899544,18.0,13.0,2126.0,33.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_persistence_3 > t2,6.0,0.4357451600014529,0.3316893573550308,0.5265151515151515,0.4183531746031745,0.973972602739726,21.0,27.0,2112.0,30.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_rolling_mean_3 > t2,6.0,0.4357451600014529,0.3316893573550308,0.5265151515151515,0.4183531746031745,0.973972602739726,21.0,27.0,2112.0,30.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_detrended_persistence_5_lag_1 > t2,6.0,0.3863851727982163,0.3683214304132793,0.5029761904761905,0.3639880952380952,0.9771689497716896,16.0,15.0,2124.0,35.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p75_deseasonalized_detrended_persistence_5 > t2,6.0,0.3814393939393939,0.344929076033194,0.5777777777777777,0.3202380952380952,0.9789954337899544,12.0,7.0,2132.0,39.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p75_persistence_5 > t2,6.0,0.3814393939393939,0.344929076033194,0.5777777777777777,0.3202380952380952,0.9789954337899544,12.0,7.0,2132.0,39.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_persistence_14_lag_14 > t2,6.0,0.3786231884057971,0.3806779760993307,0.5277777777777778,0.3613095238095238,0.9721461187214612,20.0,30.0,2109.0,31.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_lag_1 > t2,6.0,0.3756944444444444,0.1887535258439389,0.443287037037037,0.4102182539682539,0.97351598173516,20.0,27.0,2112.0,31.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_median_deseasonalized_trend_7 > t2,6.0,0.3727156623708348,0.2281661315567851,0.3517543859649123,0.430952380952381,0.9639269406392694,22.0,50.0,2089.0,29.0,6.0,run_g3,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
