rule_name,rule_type,n_folds_successful,f1_mean,precision_mean,recall_mean,accuracy_mean,f1_std,precision_std,recall_std,accuracy_std,f1_min,f1_max,f1_stability,tp_total,fp_total,tn_total,fn_total
anom_swh_p75_deseasonalized_detrended > threshold,single,6,0.2111315887761552,0.17721712329644826,0.7929563492063493,0.85662100456621,0.18739424568512372,0.18854636982271625,0.30889597879879405,0.11064785309601918,0.045454545454545456,0.5142857142857142,1.1266645960213695,32,295,1844,19
anom_swh_max_swan > threshold,single,6,0.25559904204706185,0.2500846120085751,0.7802579365079364,0.8963470319634702,0.19557368827269805,0.2771025941244788,0.28001771907680517,0.08386277054498219,0.0594059405940594,0.5,1.3069126905147832,31,207,1932,20
anom_swh_p80_swan > threshold,single,6,0.25993663341489426,0.2603973912797442,0.7135912698412697,0.9100456621004566,0.21089140723454586,0.2767150988677245,0.28072539677379027,0.06260538747235903,0.05333333333333334,0.6,1.2325556753013087,29,175,1964,22
anom_swh_p80_deseasonalized_detrended > threshold,single,6,0.21090108018893786,0.17366652763997584,0.7929563492063493,0.8684931506849315,0.1841530906344464,0.18353737401697348,0.30889597879879405,0.08367609498661294,0.046511627906976744,0.5142857142857142,1.1452424405145871,32,269,1870,19
anom_swh_median > threshold,single,6,0.2699646906519277,0.26303661616161617,0.6691468253968255,0.9278538812785389,0.21198107754822848,0.27750486336389707,0.3064084095992913,0.03794957362391992,0.05555555555555555,0.5806451612903226,1.2735260158515405,29,136,2003,22
swh_p80_deseasonalized_detrended > threshold,single,6,0.21448315351019206,0.17569090477721142,0.7366071428571429,0.8835616438356165,0.1844221008400448,0.18470793495335328,0.2649962964486849,0.05836966851275891,0.04878048780487805,0.5,1.16299505069172,31,235,1904,20
anom_swh_p75_deseasonalized_detrended_max_2d > threshold,single,6,0.2138562091503268,0.1677574250367939,0.6810515873015873,0.8990867579908676,0.18452474163370564,0.17728902567602045,0.31315643451066855,0.04388410560172813,0.04,0.5142857142857142,1.1589505467201635,30,200,1939,21
anom_swh_p25_deseasonalized_detrended > threshold,single,6,0.20565021491193755,0.16294535268414656,0.7366071428571429,0.8771689497716895,0.17835785561390277,0.17079480908218794,0.2649962964486849,0.059330515668142264,0.044444444444444446,0.4864864864864865,1.1530137609601676,31,249,1890,20
swh_p75_deseasonalized_detrended > threshold,single,6,0.21162823649948673,0.1717956349206349,0.7366071428571429,0.8812785388127854,0.18093575111541046,0.17876549144242027,0.2649962964486849,0.05887968060919462,0.046511627906976744,0.4864864864864865,1.1696254917526385,31,240,1899,20
anom_swh_p75 > threshold,single,6,0.2595478595478595,0.2600034414292726,0.7135912698412697,0.910958904109589,0.21021221203384924,0.2766727449727517,0.28072539677379027,0.06026774563101976,0.05555555555555555,0.6,1.2346886146531373,29,173,1966,22
swh_p80_deseasonalized > threshold,single,6,0.24357006084284202,0.25486886407939036,0.7150793650793651,0.9059360730593607,0.19450572951809297,0.27886353810854114,0.294013075536694,0.0539848860695121,0.05405405405405406,0.5161290322580645,1.2522449040519454,29,184,1955,22
anom_swh_mean_waverys > threshold,single,6,0.19638001912511716,0.12604438997821352,0.7386904761904761,0.902283105022831,0.10641043122074517,0.0789866763499647,0.25699262586807214,0.028242664340893387,0.06060606060606061,0.3137254901960784,1.8454786001114547,31,194,1945,20
anom_swh_p75_deseasonalized_detrended_mean_2d > threshold,single,6,0.18821749732936585,0.13925110826489406,0.7239087301587301,0.8598173515981734,0.16894808631688166,0.1494020737498922,0.2394960035060904,0.07205878767343915,0.04395604395604396,0.46153846153846156,1.1140486251363577,30,286,1853,21
anom_swh_max_deseasonalized_detrended_mean_2d > threshold,single,6,0.2257069954827525,0.17817770318147877,0.7469246031746032,0.8858447488584474,0.1919144180108816,0.18507470304787565,0.22297857925482523,0.05847031517725473,0.047619047619047616,0.47368421052631576,1.1760753660237704,32,231,1908,19
anom_swh_max_deseasonalized > threshold,single,6,0.2476019628174929,0.2374272486772487,0.7594246031746031,0.9082191780821919,0.17788813605740003,0.24491281712551802,0.3031534042181286,0.05359649218446358,0.05405405405405406,0.4375,1.3918891749387012,29,179,1960,22
anom_swh_max_deseasonalized_detrended > threshold,single,6,0.2378542275093999,0.19414746517734568,0.8143849206349206,0.8767123287671232,0.20104745309123637,0.20497911910684252,0.24064127309483813,0.0779354545264618,0.047619047619047616,0.4827586206896552,1.1830691748792566,34,253,1886,17
anom_swh_median_deseasonalized_detrended > threshold,single,6,0.21802538573758956,0.17903810679994325,0.7485119047619048,0.8831050228310503,0.18455413426357992,0.18446239656854577,0.27297848783117346,0.05766890091707183,0.047619047619047616,0.4864864864864865,1.181356382240809,32,237,1902,19
anom_swh_min_waverys > threshold,single,6,0.1753758516275884,0.1051027919448972,0.7906746031746031,0.8726027397260273,0.1041317749387079,0.06878735079661841,0.17079980037020062,0.0331835001175666,0.06451612903225806,0.2857142857142857,1.6841561336554591,36,264,1875,15
swh_max_swan > threshold,single,6,0.2132131434457016,0.15924319548607976,0.6846230158730159,0.9095890410958906,0.15615586969448725,0.13703011345848376,0.32960723910022266,0.03021161370321145,0.046511627906976744,0.41025641025641024,1.3653779296603599,30,177,1962,21
swh_p75_swan > threshold,single,6,0.22508329936964974,0.15329538113695088,0.7492063492063492,0.9054794520547946,0.1626867579922869,0.1287991166646137,0.28045422610523674,0.028247093520618084,0.04878048780487805,0.4,1.3835294194681877,36,192,1947,15
anom_swh_p80_deseasonalized_detrended_max_2d > threshold,single,6,0.20266550268199615,0.16712629342202515,0.6595238095238095,0.9013698630136986,0.16180213437575808,0.16442282602308084,0.3337922011672692,0.04478425587222477,0.0425531914893617,0.4444444444444444,1.252543737572739,28,193,1946,23
anom_swh_mean_deseasonalized_detrended > threshold,single,6,0.21150126691040447,0.16973861606985297,0.7485119047619048,0.8789954337899544,0.17924387695157915,0.1736220643523715,0.27297848783117346,0.05745373797461654,0.043478260869565216,0.47368421052631576,1.1799571095554324,32,246,1893,19
swh_p75_deseasonalized_detrended_max_2d > threshold,single,6,0.2213495455047395,0.17078680046203884,0.7596230158730158,0.8789954337899544,0.19047655769783003,0.17919184608843233,0.25335067986470117,0.06888472543413368,0.044444444444444446,0.5142857142857142,1.162076772613203,33,247,1892,18
anom_swh_max_waverys > threshold,single,6,0.19188709492728728,0.12360829001695876,0.7573412698412699,0.8863013698630137,0.11433239752339258,0.09157485172258603,0.2139155753885209,0.056911172816002706,0.05714285714285714,0.34146341463414637,1.6783118413674993,33,231,1908,18
swh_p75_deseasonalized_detrended_max_3d > threshold,single,6,0.2042518521416854,0.17448658426919297,0.69375,0.8881278538812785,0.1738465223271294,0.18352135410320128,0.3495408694908858,0.06642164267484807,0.04081632653061224,0.47368421052631576,1.1748907859459974,31,225,1914,20
anom_swh_p25_deseasonalized_detrended_mean_2d > threshold,single,6,0.1780286739974546,0.12599947020236876,0.6794642857142857,0.8730593607305935,0.16146215325774366,0.14139454266627655,0.27765767670071545,0.051508792346523814,0.0425531914893617,0.46153846153846156,1.1025962915097254,30,257,1882,21
