fold,rule_type,rule_name,f1_score,anom_swh_p75_deseasonalized_detrended,anom_swh_max_swan,anom_swh_p80_swan,anom_swh_p80_deseasonalized_detrended,anom_swh_median,swh_p80_deseasonalized_detrended,anom_swh_p75_deseasonalized_detrended_max_2d,anom_swh_p25_deseasonalized_detrended,swh_p75_deseasonalized_detrended,anom_swh_p75,swh_p80_deseasonalized,anom_swh_mean_waverys,anom_swh_p75_deseasonalized_detrended_mean_2d,anom_swh_max_deseasonalized_detrended_mean_2d,anom_swh_max_deseasonalized,anom_swh_max_deseasonalized_detrended,anom_swh_median_deseasonalized_detrended,anom_swh_min_waverys,swh_max_swan,swh_p75_swan,anom_swh_p80_deseasonalized_detrended_max_2d,anom_swh_mean_deseasonalized_detrended,swh_p75_deseasonalized_detrended_max_2d,anom_swh_max_waverys,swh_p75_deseasonalized_detrended_max_3d,anom_swh_p25_deseasonalized_detrended_mean_2d,anom_swh_median_deseasonalized_detrended_max_3d,anom_swh_p80_waverys,swh_p75_waverys,anom_swh_p80_deseasonalized,anom_swh_median_deseasonalized_detrended_mean_2d,swh_max_deseasonalized_detrended,anom_swh_mean_deseasonalized_detrended_max_2d,anom_swh_mean_swan,swh_p80_waverys,anom_swh_p25,swh_p80_swan,anom_swh_median_deseasonalized_detrended_max_2d,swh_p80_deseasonalized_detrended_max_3d,swh_max_waverys,anom_swe_p80,swh_cv_deseasonalized_detrended_min_5d,anom_swh_median_deseasonalized,clima_swh_mean_deseasonalized_detrended_min_5d,anom_swh_p80_deseasonalized_detrended_max_3d,anom_swh_p25_deseasonalized_detrended_max_2d,anom_swh_mean_deseasonalized_detrended_max_3d,swh_p80_deseasonalized_detrended_max_2d,anom_swh_min_deseasonalized_detrended,anom_swe_max,swh_mean_waverys,swh_p25_deseasonalized_detrended,swh_cv_deseasonalized_detrended_min_7d,anom_swh_p75_deseasonalized_detrended_max_3d,anom_swh_p75_deseasonalized,anom_swh_p25_deseasonalized,swh_p80_deseasonalized_detrended_mean_2d,anom_swh_mean_deseasonalized,anom_swh_mean_deseasonalized_detrended_mean_2d,swh_max_deseasonalized,swh_p80_deseasonalized_detrended_std_2d,anom_swh_p75_deseasonalized_detrended_std_2d,anom_cv,swh_mean_swan,anom_swh_p80_deseasonalized_detrended_std_7d,anom_swh_max_deseasonalized_detrended_min_2d,swh_median_swan,swh_min_waverys,swh_p60_deseasonalized_detrended,anom_swh_p80_deseasonalized_detrended_max_5d,swh_median_deseasonalized_detrended_max_3d,swh_p25_waverys,anom_swh_p80_deseasonalized_detrended_max_14d,swh_p80_deseasonalized_detrended_std_14d,anom_swh_median_deseasonalized_detrended_mean_3d,swh_median_deseasonalized_detrended,swh_median_deseasonalized_detrended_mean_2d,anom_swh_p80_deseasonalized_detrended_mean_2d,anom_swe_mean,anom_swh_max_deseasonalized_detrended_max_2d,swh_p60_deseasonalized,swh_median_deseasonalized,anom_swh_p25_deseasonalized_detrended_max_5d,swh_iqr_deseasonalized_detrended_max_14d,anom_swh_mean_deseasonalized_detrended_max_14d,swh_p75_deseasonalized_detrended_std_3d,anom_swh_p75_deseasonalized_detrended_min_2d,swh_p60_deseasonalized_detrended_max_2d,clima_swh_mean_swan,clima_swh_mean_deseasonalized_detrended_min_7d,anom_swh_p80_deseasonalized_detrended_max_7d,swh_p75_deseasonalized_detrended_std_2d,anom_swh_min_swan,anom_swh_p25_deseasonalized_detrended_max_3d,swh_mean_deseasonalized_detrended,anom_swh_p75_deseasonalized_detrended_max_7d,swh_p75_deseasonalized_detrended_mean_2d,swh_max_deseasonalized_detrended_min_2d,anom_swh_min_deseasonalized_detrended_std_7d,swh_p80_deseasonalized_detrended_std_3d,swh_p75_deseasonalized_detrended_max_5d,swh_p60,anom_swh_mean_deseasonalized_detrended_max_5d,duration_intensity_p60_waverys,anom_swh_min_deseasonalized_detrended_max_14d,swh_cv_deseasonalized_detrended_min_3d,swh_min_deseasonalized_detrended,anom_swh_p75_deseasonalized_detrended_max_5d,swh_p25_deseasonalized,anom_swh_p75_deseasonalized_detrended_max_14d,swh_p80_deseasonalized_detrended_max_5d,swh_p75_deseasonalized_detrended_min_2d,anom_swh_p80_deseasonalized_detrended_std_14d,anom_swh_mean_deseasonalized_detrended_max_7d,anom_swh_min_deseasonalized,anom_swh_p75_deseasonalized_detrended_std_7d,swh_max_deseasonalized_detrended_max_3d,swh_min_deseasonalized_detrended_min_14d,clima_swh_mean_deseasonalized_detrended_max_14d,swh_sd_deseasonalized_detrended_max_14d,swh_p60_deseasonalized_detrended_max_3d,anom_swh_p25_deseasonalized_detrended_lag_1d,swh_range_deseasonalized_detrended_lag_7d,anom_swh_p25_deseasonalized_detrended_max_7d,swh_sd_deseasonalized_detrended,anom_swe_range,swh_p25_swan,swh_p75_deseasonalized_detrended_lag_7d,swh_median_deseasonalized_detrended_max_2d,clima_swh_mean_waverys,anom_swh_sd_deseasonalized_detrended_max_7d,swh_cv_swan,clima_swh_mean_deseasonalized_detrended_mean_5d,anom_swh_p25_deseasonalized_detrended_lag_7d,swh_iqr_deseasonalized_detrended_mean_2d,anom_swh_p80_deseasonalized_detrended_min_2d,anom_swh_p80_deseasonalized_detrended_std_2d,anom_swh_min_deseasonalized_detrended_lag_5d,swh_iqr_deseasonalized_detrended_std_7d,swh_p75_deseasonalized_detrended_std_7d,anom_swh_max_deseasonalized_detrended_max_3d,anom_swh_p75_deseasonalized_detrended_std_14d,anom_swh_median_deseasonalized_detrended_lag_1d,anom_swh_p80_deseasonalized_detrended_lag_5d,anom_swh_p25_deseasonalized_detrended_max_14d,swh_range_deseasonalized_detrended,swh_p25_deseasonalized_detrended_max_2d,day_of_year,swh_p75_deseasonalized,anom_swh_mean_deseasonalized_detrended_min_2d
0,single,anom_swh_p75_deseasonalized_detrended > threshold,0.046511627906976744,0.18539947969252485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single,anom_swh_p75_deseasonalized_detrended > threshold,0.045454545454545456,0.044570766680212384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,single,anom_swh_p75_deseasonalized_detrended > threshold,0.2826086956521739,0.20250233270001808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,single,anom_swh_p75_deseasonalized_detrended > threshold,0.08163265306122448,0.24815417955627164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,single,anom_swh_p75_deseasonalized_detrended > threshold,0.2962962962962963,0.2568779673786168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,single,anom_swh_p75_deseasonalized_detrended > threshold,0.5142857142857142,0.24258902493243895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,single,anom_swh_max_swan > threshold,0.0625,,0.3448941412297163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single,anom_swh_max_swan > threshold,0.0594059405940594,,0.19820222677662963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,single,anom_swh_max_swan > threshold,0.3142857142857143,,0.3403326537572976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,single,anom_swh_max_swan > threshold,0.14285714285714285,,0.35640650487815323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,single,anom_swh_max_swan > threshold,0.45454545454545453,,0.3473467285434404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,single,anom_swh_max_swan > threshold,0.5,,0.2744552423556646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,single,anom_swh_p80_swan > threshold,0.05714285714285714,,,0.30128966250202904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single,anom_swh_p80_swan > threshold,0.05333333333333334,,,0.19324559526009996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,single,anom_swh_p80_swan > threshold,0.3188405797101449,,,0.30002318901320296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
