fold,rule_type,rule_name,f1_score,anom_swh_p80_deseasonalized_detrended,swh_p80_deseasonalized_detrended,swh_median_deseasonalized_detrended,anom_swh_p75,swh_p80_deseasonalized,anom_swh_p25_deseasonalized_detrended,swh_p25_deseasonalized_detrended,anom_swh_min_deseasonalized_detrended,anom_swh_p75_deseasonalized_rel_change_14,anom_swh_p25,swh_p60,swh_p25_swan,swh_mean_deseasonalized_detrended,anom_swh_p80_waverys,anom_swh_mean_waverys,anom_swh_median_persistence_2,swh_max_deseasonalized,swh_mean_waverys,anom_swh_median_deseasonalized_detrended_persistence_2,anom_swh_p80_abs_change_7,anom_swh_max_swan,anom_swh_median_deseasonalized_detrended,anom_swh_min_waverys,swh_p75_waverys,swh_max_deseasonalized_detrended,anom_swh_max_deseasonalized_detrended,anom_swh_mean_deseasonalized_detrended,swh_p25_deseasonalized,anom_swh_mean_swan,anom_swh_max_waverys,anom_swh_p75_deseasonalized_detrended,swh_p60_deseasonalized_detrended,swh_p75_deseasonalized_detrended,anom_swh_p75_deseasonalized,swh_median_deseasonalized,anom_swh_median_deseasonalized,anom_swh_median,anom_swh_p75_deseasonalized_rel_change_14_lag_1,anom_swh_max_deseasonalized,anom_swh_p80_swan,anom_swh_p80_deseasonalized,anom_swh_p25_deseasonalized,anom_swh_median_abs_change_7,anom_swh_p75_abs_change_14,anom_swh_p75_deseasonalized_detrended_persistence_2,anom_swh_p25_persistence_2,anom_swh_p75_rel_change_14_lag_1,anom_swh_p80_deseasonalized_abs_change_7,anom_swh_p75_deseasonalized_detrended_rel_change_14,swh_median_deseasonalized_detrended_abs_change_7,swh_max_waverys,anom_swe_max,swh_p80_deseasonalized_detrended_persistence_2,anom_swh_p80_deseasonalized_abs_change_14,anom_swh_p80_abs_change_14,anom_swh_p80_deseasonalized_detrended_abs_change_14,swh_iqr_deseasonalized_detrended_rel_change_5_lag_5,swh_p60_deseasonalized_detrended_rolling_mean_3,swh_p60_deseasonalized,swh_min_deseasonalized_detrended,anom_swh_min_swan,anom_swh_p75_abs_change_7,swh_min_waverys,anom_swe_p80,anom_swh_p80_deseasonalized_detrended_persistence_2,swh_cv_deseasonalized_lag_3,anom_swe_mean,swh_median_waverys,anom_swh_mean_persistence_2,anom_swh_p75_deseasonalized_detrended_abs_change_7,anom_swh_mean_deseasonalized_detrended_persistence_2,swh_p75_deseasonalized_detrended_rel_change_5_lag_5,anom_swh_p80_abs_change_3,swh_p80_rel_change_7,swh_sd_deseasonalized_lag_3,clima_swh_mean_persistence_14_lag_1,swh_mean_deseasonalized,clima_swh_mean_rolling_mean_14_lag_1,clima_swh_mean_persistence_5_lag_1,swh_p25_waverys,duration_intensity_p60_waverys,anom_swh_p80_trend_14,anom_swh_mean_rel_change_7_lag_7,anom_swh_p75_persistence_2,anom_swh_p75_trend_7_lag_1,anom_swh_max_abs_change_14,anom_swh_max_deseasonalized_detrended_persistence_2,anom_swh_p75_deseasonalized_trend_7_lag_1,anom_swh_p75_deseasonalized_detrended_rel_change_3_lag_14,anom_swh_p25_persistence_3,anom_swh_min_persistence_3,anom_swh_p80_persistence_2,anom_swh_p75_trend_14,anom_swh_mean_deseasonalized_trend_7_lag_1,swh_p80_waverys,swh_p80_swan,swh_p80_rel_change_14,swh_cv_deseasonalized_detrended_persistence_14,swh_p75_deseasonalized_detrended_persistence_2,swh_median_swan,swh_p75_swan,swh_p80_abs_change_14,swh_iqr_deseasonalized_detrended_rel_change_7_lag_3,anom_swh_p25_deseasonalized_detrended_persistence_3,anom_swh_mean_deseasonalized,anom_swh_p80_deseasonalized_detrended_abs_change_5,anom_swh_max_persistence_2,anom_swh_median_abs_change_14,clima_swh_mean_deseasonalized_detrended_rel_change_14_lag_14,swh_max_deseasonalized_detrended_persistence_2,duration_intensity_p60_swan,swh_median_deseasonalized_persistence_2,anom_swh_min_deseasonalized_rel_change_14_lag_1,swh_median_deseasonalized_detrended_persistence_2,anom_swh_min_deseasonalized,swh_mean_swan,swh_min_swan,anom_swh_p75_deseasonalized_persistence_2,swh_cv_deseasonalized_persistence_14_lag_1,anom_swh_mean_deseasonalized_detrended_rel_change_14,day_of_year,anom_swh_p25_deseasonalized_detrended_persistence_2,swh_p75_deseasonalized,swh_cv_deseasonalized_persistence_5_lag_1,anom_swh_min_deseasonalized_rel_change_7_lag_5,swh_cv_deseasonalized_persistence_7_lag_1,anom_swh_p25_deseasonalized_detrended_abs_change_7,swh_cv_deseasonalized_detrended_rolling_mean_14,anom_swh_p75_deseasonalized_detrended_persistence_14_lag_5,anom_swh_mean_deseasonalized_detrended_rolling_mean_3,anom_swh_p75_deseasonalized_trend_14,swh_p60_deseasonalized_detrended_persistence_3,anom_swh_p75_deseasonalized_detrended_trend_14,anom_cv,swh_p60_deseasonalized_detrended_persistence_2,swh_min_deseasonalized,swh_p60_deseasonalized_persistence_2,swh_iqr_persistence_3,swh_p75_deseasonalized_persistence_2,anom_swh_max_deseasonalized_persistence_2,swh_median_deseasonalized_abs_change_7,swh_max_rel_change_14,swh_cv_deseasonalized_detrended_persistence_5_lag_1,anom_swh_min_abs_change_14,anom_swh_p80_deseasonalized_detrended_abs_change_3,clima_swh_mean_rolling_mean_7_lag_1,anom_swh_p80_rel_change_7_lag_3,swh_mean_deseasonalized_detrended_persistence_3,swh_max_deseasonalized_detrended_persistence_3,swh_min_deseasonalized_detrended_trend_7
0,single,anom_swh_p80_deseasonalized_detrended > threshold,0.046511627906976744,0.1845121825471293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single,anom_swh_p80_deseasonalized_detrended > threshold,0.057692307692307696,0.08423250350374253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,single,anom_swh_p80_deseasonalized_detrended > threshold,0.27956989247311825,0.2066772500201027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,single,anom_swh_p80_deseasonalized_detrended > threshold,0.08163265306122448,0.24920507353347568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,single,anom_swh_p80_deseasonalized_detrended > threshold,0.2857142857142857,0.2565552995658222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,single,anom_swh_p80_deseasonalized_detrended > threshold,0.5142857142857142,0.23866033608164405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,single,swh_p80_deseasonalized_detrended > threshold,0.04878048780487805,,0.18738686217871658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single,swh_p80_deseasonalized_detrended > threshold,0.0625,,0.14386186546679366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,single,swh_p80_deseasonalized_detrended > threshold,0.2553191489361702,,0.20742104441516898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,single,swh_p80_deseasonalized_detrended > threshold,0.07547169811320754,,0.2394803679283074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,single,swh_p80_deseasonalized_detrended > threshold,0.3448275862068966,,0.25022032751807044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,single,swh_p80_deseasonalized_detrended > threshold,0.5,,0.23595529805001755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,single,swh_median_deseasonalized_detrended > threshold,0.046511627906976744,,,0.18750220975728424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,single,swh_median_deseasonalized_detrended > threshold,0.058823529411764705,,,0.13628405485547754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,single,swh_median_deseasonalized_detrended > threshold,0.2765957446808511,,,0.19680976511244871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
