rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_detrended_rolling_mean_3 > t2,6,0.45957556935817806,0.3283553409289109,0.5347222222222222,0.44216269841269845,0.9739726027397261,23,29,2110,28,6
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_detrended_persistence_3 > t2,6,0.45957556935817806,0.3283553409289109,0.5347222222222222,0.44216269841269845,0.9739726027397261,23,29,2110,28,6
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_detrended_persistence_5 > t2,6,0.44999999999999996,0.3209361307176242,0.5936507936507937,0.3886904761904762,0.9789954337899544,18,13,2126,33,6
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_detrended_rolling_mean_5 > t2,6,0.44999999999999996,0.3209361307176242,0.5936507936507937,0.3886904761904762,0.9789954337899544,18,13,2126,33,6
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_persistence_3 > t2,6,0.43574516000145297,0.33168935735503086,0.5265151515151515,0.41835317460317456,0.973972602739726,21,27,2112,30,6
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_rolling_mean_3 > t2,6,0.43574516000145297,0.33168935735503086,0.5265151515151515,0.41835317460317456,0.973972602739726,21,27,2112,30,6
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_detrended_persistence_5_lag_1 > t2,6,0.3863851727982163,0.3683214304132793,0.5029761904761905,0.3639880952380952,0.9771689497716896,16,15,2124,35,6
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p75_deseasonalized_detrended_persistence_5 > t2,6,0.3814393939393939,0.34492907603319406,0.5777777777777777,0.3202380952380952,0.9789954337899545,12,7,2132,39,6
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p75_persistence_5 > t2,6,0.3814393939393939,0.34492907603319406,0.5777777777777777,0.3202380952380952,0.9789954337899545,12,7,2132,39,6
and_2,anom_swh_p80_trend_5 > t1 AND anom_swh_p80_deseasonalized_persistence_14_lag_14 > t2,6,0.3786231884057971,0.3806779760993307,0.5277777777777778,0.3613095238095238,0.9721461187214612,20,30,2109,31,6
