feature,enhanced_score,method_count,consensus_score,methods,best_position,avg_position
swh_iqr_deseasonalized_detrended_mean_7d,9.646030886814723,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",1,30.75
swh_cv_deseasonalized_detrended_lag_14d,9.085936734317155,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",2,59.75
swh_range_deseasonalized_detrended_mean_7d,8.983422680486651,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",17,44.5
anom_swh_sd_deseasonalized_detrended_mean_14d,8.978368744990986,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",6,44.0
anom_swh_p75_deseasonalized_detrended_mean_7d,8.630286971336032,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",23,61.5
anom_swh_sd_deseasonalized_detrended_mean_7d,8.606339615883012,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",7,59.75
swh_p75_deseasonalized_detrended_max_7d,8.391211117665623,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",35,60.25
anom_swh_sd_deseasonalized_detrended_lag_14d,8.383198919233362,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",24,69.75
swh_p75_deseasonalized_detrended_mean_7d,8.217014869534669,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",18,64.75
swh_iqr_deseasonalized_detrended_mean_5d,8.17184446312821,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",15,66.75
anom_swh_p80_deseasonalized_detrended_mean_7d,8.11522135618478,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",24,73.75
anom_swh_max_deseasonalized_detrended_lag_14d,8.102319907263926,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",20,77.5
swh_range_deseasonalized_detrended_max_7d,8.026660037344913,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",27,70.5
anom_swh_p80_deseasonalized_detrended_lag_3d,7.918879348510214,3,0.6,"random_forest, extra_trees, domain_selection",2,13.666666666666666
anom_swh_p75_deseasonalized_detrended_max_7d,7.643360907694475,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",11,99.75
anom_swh_p75_deseasonalized_detrended_lag_3d,7.626710079399138,3,0.6,"random_forest, extra_trees, domain_selection",1,26.0
swh_cv_deseasonalized_detrended_max_7d,7.62550742658559,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",20,87.25
anom_swe_cv,7.616429175484202,3,0.6,"random_forest, extra_trees, domain_selection",1,21.333333333333332
anom_swh_sd_deseasonalized_detrended_max_7d,7.606919223441284,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",50,79.5
anom_swh_p80_deseasonalized_detrended_mean_5d,7.600293085933414,3,0.6,"random_forest, extra_trees, domain_selection",15,21.333333333333332
swh_p80_deseasonalized_detrended_mean_7d,7.5963302065082985,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",10,87.75
swh_iqr_deseasonalized_detrended_max_7d,7.58351142982824,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",16,82.5
anom_swh_mean_deseasonalized_detrended_lag_3d,7.365220716858484,3,0.6,"random_forest, extra_trees, domain_selection",5,27.0
anom_swh_p75_deseasonalized_detrended_mean_5d,7.311947008031658,3,0.6,"random_forest, extra_trees, domain_selection",14,30.0
anom_swh_p25_deseasonalized_detrended_lag_14d,7.052608819896125,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",47,108.25
swh_iqr_deseasonalized_detrended_mean_14d,7.033070655564342,3,0.6,"random_forest, extra_trees, domain_selection",4,35.333333333333336
anom_swh_p75_deseasonalized_detrended_lag_1d,6.987405653704548,3,0.6,"random_forest, extra_trees, domain_selection",5,43.0
anom_swh_mean_deseasonalized_detrended_lag_14d,6.946204565382819,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",52,106.5
anom_swh_median_deseasonalized_detrended_lag_3d,6.800539794929071,3,0.6,"random_forest, extra_trees, domain_selection",41,43.666666666666664
anom_swh_range,6.74582843586956,3,0.6,"random_forest, extra_trees, domain_selection",23,44.0
anom_swh_max_deseasonalized_detrended_lag_3d,6.73776836634364,3,0.6,"random_forest, extra_trees, domain_selection",22,48.0
anom_swh_max_deseasonalized_detrended_mean_7d,6.706713700768893,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",72,108.5
swh_range_deseasonalized_detrended_lag_14d,6.704651351108314,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",65,114.5
swh_sd_deseasonalized_detrended_mean_14d,6.695060960536322,3,0.6,"random_forest, extra_trees, mutual_info",4,25.666666666666668
swh_range_deseasonalized_detrended_lag_3d,6.611772270711578,3,0.6,"random_forest, extra_trees, domain_selection",28,47.0
anom_swh_sd_deseasonalized_detrended_mean_5d,6.601513762625124,3,0.6,"random_forest, extra_trees, domain_selection",13,48.333333333333336
anom_swh_p80_deseasonalized_detrended_max_5d,6.579517755816434,3,0.6,"random_forest, extra_trees, domain_selection",16,55.333333333333336
anom_swh_p80_deseasonalized_detrended_max_7d,6.536946922921814,3,0.6,"random_forest, mutual_info, domain_selection",10,69.0
swh_cv_swan,6.530456873356757,4,0.8,"random_forest, extra_trees, f_test, domain_selection",23,108.25
