combination_id,type,description,features,thresholds,f1_score,mean_loss,std_loss,max_loss,min_loss,zero_prob,p99_loss,mean_events,std_events,p99_events,max_events,mean_tp,mean_fp,mean_fn,p99_tp,p99_fp,p99_fn,mean_tp_cost,mean_fp_cost,mean_fn_cost,p99_tp_cost,p99_fp_cost,p99_fn_cost,obs_tp,obs_fp,obs_tn,obs_fn,obs_precision,obs_recall,obs_accuracy,obs_f1,method,rule_features,min_days,n_fishermen,daily_wage,n_simulations
14,double_AND,swh_p80_swan > t1 AND anom_swh_mean_deseasonalized_detrended > t2,"['swh_p80_swan', 'anom_swh_mean_deseasonalized_detrended']","(np.float64(1.7274392652511599), np.float64(0.07092036516966926))",0.5521064301552105,5550496.6,1050386.653089442,9574400.0,2318800.0,0.0,8228000.0,74.2045,14.042602314029974,110.0,128.0,35.71475,38.48975,19.21175,60.0,63.0,34.0,2671463.3,2879033.3,1437038.9,4488000.0,4712400.0,2543200.0,249,269,1904,135,0.4806949806949807,0.6484375,0.8420023464998044,0.5521064301552107,enhanced_multi_rule_block_bootstrap,"['swh_p80_swan', 'anom_swh_mean_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
10,double_AND,swh_p80_swan > t1 AND anom_swh_p25_deseasonalized_detrended > t2,"['swh_p80_swan', 'anom_swh_p25_deseasonalized_detrended']","(np.float64(1.7274392652511599), np.float64(0.07151009018986756))",0.5382059800664452,5562053.2,1057231.5695862283,9499600.0,2318800.0,0.0,8228000.0,74.359,14.134111892864016,110.0,127.0,34.83725,39.52175,20.08925,59.0,64.0,35.00999999999976,2605826.3,2956226.9,1502675.9,4413200.0,4787200.0,2618747.9999999823,243,276,1897,141,0.4682080924855491,0.6328125,0.8369182635901447,0.5382059800664452,enhanced_multi_rule_block_bootstrap,"['swh_p80_swan', 'anom_swh_p25_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
12,double_AND,swh_p80_swan > t1 AND anom_swh_median_deseasonalized_detrended > t2,"['swh_p80_swan', 'anom_swh_median_deseasonalized_detrended']","(np.float64(1.7274392652511599), np.float64(0.07378162789885885))",0.5464601769911503,5573123.6,1054219.5638495048,9724000.0,2169200.0,0.0,8228000.0,74.507,14.093844436490706,110.0,130.0,35.409,39.098,19.5175,60.0,64.0,35.0,2648593.2,2924530.4,1459909.0,4488000.0,4787200.0,2618000.0,247,273,1900,137,0.475,0.6432291666666666,0.8396558466953461,0.5464601769911505,enhanced_multi_rule_block_bootstrap,"['swh_p80_swan', 'anom_swh_median_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
2,double_AND,swh_max_swan > t1 AND anom_swh_p25_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_p25_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.07151009018986756))",0.5392265193370166,5584212.7,1055677.9154262487,9350000.0,2318800.0,0.0,8302800.0,74.65525,14.11334111532418,111.0,125.0,34.97775,39.6775,19.94875,59.0,65.0,35.0,2616335.7,2967877.0,1492166.5,4413200.0,4862000.0,2618000.0,244,277,1896,140,0.46833013435700577,0.6354166666666666,0.8369182635901447,0.5392265193370166,enhanced_multi_rule_block_bootstrap,"['swh_max_swan', 'anom_swh_p25_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
6,double_AND,swh_max_swan > t1 AND anom_swh_mean_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_mean_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.07092036516966926))",0.5512679162072767,5605437.2,1051617.9830604647,9424800.0,2318800.0,0.0,8302800.0,74.939,14.05906394465862,111.0,126.0,35.85525,39.08375,19.07125,60.0,63.00999999999976,34.0,2681972.7,2923464.5,1426529.5,4488000.0,4713147.999999982,2543200.0,250,273,1900,134,0.4780114722753346,0.6510416666666666,0.8408290965975753,0.5512679162072768,enhanced_multi_rule_block_bootstrap,"['swh_max_swan', 'anom_swh_mean_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
4,double_AND,swh_max_swan > t1 AND anom_swh_median_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_median_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.07378162789885885))",0.5456545654565457,5628064.2,1054771.9781063395,9574400.0,2169200.0,0.0,8302800.0,75.2415,14.101229653828065,111.0,128.0,35.5495,39.692,19.377,60.0,64.0,35.0,2659102.6,2968961.6,1449399.6,4488000.0,4787200.0,2618000.0,248,277,1896,136,0.4723809523809524,0.6458333333333334,0.838482596793117,0.5456545654565457,enhanced_multi_rule_block_bootstrap,"['swh_max_swan', 'anom_swh_median_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
8,double_AND,swh_max_swan > t1 AND anom_swh_p75_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_p75_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.07525656955802025))",0.5557986870897155,5678367.2,1055531.3790334042,9574400.0,2318800.0,0.0,8377600.0,75.914,14.111382072639094,112.0,128.0,36.4405,39.4735,18.486,61.0,65.0,33.0,2725749.4,2952617.8,1382752.8,4562800.0,4862000.0,2468400.0,254,276,1897,130,0.47924528301886793,0.6614583333333334,0.8412201798983183,0.5557986870897156,enhanced_multi_rule_block_bootstrap,"['swh_max_swan', 'anom_swh_p75_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
0,double_AND,swh_max_swan > t1 AND swh_p80_swan > t2,"['swh_max_swan', 'swh_p80_swan']","(np.float64(1.7945157051086427), np.float64(1.7274392652511599))",0.4850926672038679,9200530.9,1338039.5504861544,14810400.0,4712400.0,0.0,12416800.0,123.00175,17.88822928457426,166.0,198.0,43.15275,79.849,11.77375,71.0,114.0,25.0,3227825.7,5972705.2,880676.5,5310800.0,8527200.0,1870000.0,301,556,1617,83,0.35122520420070014,0.7838541666666666,0.7500977708251858,0.48509266720386784,enhanced_multi_rule_block_bootstrap,"['swh_max_swan', 'swh_p80_swan']",1,5236.0,14.285714285714286,4000
1,double_OR,swh_max_swan > t1 OR swh_p80_swan > t2,"['swh_max_swan', 'swh_p80_swan']","(np.float64(1.7945157051086427), np.float64(2.502344512939453))",0.48006254886630184,9607667.3,1359675.8502491356,15034800.0,5310800.0,0.0,12865600.0,128.44475,18.17748462899914,172.0,201.0,44.02875,84.416,10.89775,72.0,119.0,24.0,3293350.5,6314316.8,815151.7,5385600.0,8901200.0,1795200.0,307,588,1585,77,0.34301675977653634,0.7994791666666666,0.7399296050058662,0.4800625488663018,enhanced_multi_rule_block_bootstrap,"['swh_max_swan', 'swh_p80_swan']",1,5236.0,14.285714285714286,4000
5,double_OR,swh_max_swan > t1 OR anom_swh_median_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_median_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.47947290303895784))",0.48324240062353857,9649405.7,1355941.0978237623,15184400.0,5310800.0,0.0,12940400.0,129.00275,18.127554783740138,173.0,203.0,44.4445,84.55825,10.482,72.0,119.0,22.009999999999764,3324448.6,6324957.1,784053.6,5385600.0,8901200.0,1646347.9999999823,310,589,1584,74,0.3448275862068966,0.8072916666666666,0.7407117716073524,0.48324240062353857,enhanced_multi_rule_block_bootstrap,"['swh_max_swan', 'anom_swh_median_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
7,double_OR,swh_max_swan > t1 OR anom_swh_mean_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_mean_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.46376323866160596))",0.4828660436137071,9660906.2,1353400.5499044103,15184400.0,5310800.0,0.0,12940400.0,129.1565,18.093590239363774,173.0,203.0,44.4445,84.712,10.482,72.0,119.0,22.009999999999764,3324448.6,6336457.6,784053.6,5385600.0,8901200.0,1646347.9999999823,310,590,1583,74,0.34444444444444444,0.8072916666666666,0.7403206883066094,0.48286604361370716,enhanced_multi_rule_block_bootstrap,"['swh_max_swan', 'anom_swh_mean_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
13,double_OR,swh_p80_swan > t1 OR anom_swh_median_deseasonalized_detrended > t2,"['swh_p80_swan', 'anom_swh_median_deseasonalized_detrended']","(np.float64(1.7274392652511599), np.float64(0.47947290303895784))",0.48442367601246106,9664889.3,1364638.3238299845,15259200.0,5161200.0,0.0,12865600.0,129.20975,18.243827858689635,172.0,204.0,44.591,84.61875,10.3355,72.0,120.0,22.009999999999764,3335406.8,6329482.5,773095.4,5385600.0,8976000.0,1646347.9999999823,311,589,1584,73,0.34555555555555556,0.8098958333333334,0.7411028549080955,0.48442367601246106,enhanced_multi_rule_block_bootstrap,"['swh_p80_swan', 'anom_swh_median_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
3,double_OR,swh_max_swan > t1 OR anom_swh_p25_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_p25_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.4593566895914331))",0.4824902723735408,9671527.8,1352614.622805461,15184400.0,5310800.0,0.0,12940400.0,129.2985,18.08308319258638,173.0,203.0,44.4445,84.854,10.482,72.0,119.0,22.009999999999764,3324448.6,6347079.2,784053.6,5385600.0,8901200.0,1646347.9999999823,310,591,1582,74,0.34406215316315203,0.8072916666666666,0.7399296050058662,0.48249027237354086,enhanced_multi_rule_block_bootstrap,"['swh_max_swan', 'anom_swh_p25_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
11,double_OR,swh_p80_swan > t1 OR anom_swh_p25_deseasonalized_detrended > t2,"['swh_p80_swan', 'anom_swh_p25_deseasonalized_detrended']","(np.float64(1.7274392652511599), np.float64(0.4593566895914331))",0.4836702954898911,9687011.4,1361579.7992148825,15259200.0,5161200.0,0.0,12865600.0,129.5055,18.202938492177573,172.0,204.0,44.591,84.9145,10.3355,72.0,120.0,22.009999999999764,3335406.8,6351604.6,773095.4,5385600.0,8976000.0,1646347.9999999823,311,591,1582,73,0.34478935698447893,0.8098958333333334,0.7403206883066094,0.48367029548989116,enhanced_multi_rule_block_bootstrap,"['swh_p80_swan', 'anom_swh_p25_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
9,double_OR,swh_max_swan > t1 OR anom_swh_p75_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_p75_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.5019963301969497))",0.48484848484848486,9694341.8,1350494.8653781547,15259200.0,5310800.0,0.0,13015200.0,129.6035,18.054744189547524,174.0,204.0,44.73575,84.86775,10.19075,72.00999999999976,119.00999999999976,22.0,3346234.1,6348107.7,762268.1,5386347.999999982,8901947.999999983,1645600.0,312,591,1582,72,0.34551495016611294,0.8125,0.7407117716073524,0.48484848484848486,enhanced_multi_rule_block_bootstrap,"['swh_max_swan', 'anom_swh_p75_deseasonalized_detrended']",1,5236.0,14.285714285714286,4000
