rule_idx,rule_name,rule_type,fold,anom_swh_max_abs_change_14_swan,anom_swh_max_abs_change_3_swan,anom_swh_max_abs_change_5_swan,anom_swh_max_abs_change_7_swan,anom_swh_max_ma_14_swan,anom_swh_max_ma_2_swan,anom_swh_max_ma_3_swan,anom_swh_max_ma_5_swan,anom_swh_max_ma_7_swan,anom_swh_max_rel_change_14_swan,anom_swh_max_rel_change_3_swan,anom_swh_max_rel_change_5_swan,anom_swh_max_rel_change_7_swan,anom_swh_max_swan,anom_swh_max_trend_14_swan,anom_swh_max_trend_3_swan,anom_swh_max_trend_5_swan,anom_swh_max_trend_7_swan,swh_max_abs_change_14_swan,swh_max_abs_change_3_swan,swh_max_abs_change_5_swan,swh_max_abs_change_7_swan,swh_max_ma_14_swan,swh_max_ma_2_swan,swh_max_ma_3_swan,swh_max_ma_5_swan,swh_max_ma_7_swan,swh_max_rel_change_14_swan,swh_max_rel_change_3_swan,swh_max_rel_change_5_swan,swh_max_rel_change_7_swan,swh_max_swan,swh_max_trend_14_swan,swh_max_trend_3_swan,swh_max_trend_5_swan,swh_max_trend_7_swan
0,anom_swh_max_abs_change_14_swan > threshold,single,0,0.14767186393749976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,anom_swh_max_abs_change_14_swan > threshold,single,1,0.12919279570833317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,anom_swh_max_abs_change_14_swan > threshold,single,2,0.34492192291666623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,anom_swh_max_abs_change_14_swan > threshold,single,3,0.3574869953125001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,anom_swh_max_abs_change_14_swan > threshold,single,4,-0.0115625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,anom_swh_max_abs_change_14_swan > threshold,single,5,0.2794115427916666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,anom_swh_max_abs_change_3_swan > threshold,single,0,,0.09217708293750008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,anom_swh_max_abs_change_3_swan > threshold,single,1,,0.21459376624999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,anom_swh_max_abs_change_3_swan > threshold,single,2,,0.21548186114583304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,anom_swh_max_abs_change_3_swan > threshold,single,3,,0.28466155520833325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,anom_swh_max_abs_change_3_swan > threshold,single,4,,0.39143755541666675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,anom_swh_max_abs_change_3_swan > threshold,single,5,,0.49321354041666626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,anom_swh_max_abs_change_5_swan > threshold,single,0,,,0.12664062729166684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
