rule_idx,rule_name,rule_type,complexity,n_folds_successful,accuracy_mean,precision_mean,recall_mean,f1_mean,accuracy_std,precision_std,recall_std,f1_std,feature,feature1,feature2,thresholds_fold_0,thresholds_fold_1,thresholds_fold_2,thresholds_fold_3,thresholds_fold_4,thresholds_fold_5,thresholds_mean
1287,(swh_max_swan > t1) OR (swh_max_trend_3_swan > t2),or,2,6,0.8187214611872147,0.6241415246808257,0.7114900182921104,0.6589599928397291,0.044834974448530455,0.0962465564795399,0.05334068774392928,0.05380611353333064,swh_max_swan + swh_max_trend_3_swan,swh_max_swan,swh_max_trend_3_swan,swh_max:2.195 | swh_max_trend_3:0.3032,swh_max:1.955 | swh_max_trend_3:0.2875,swh_max:2.2925 | swh_max_trend_3:0.2235,swh_max:2.12 | swh_max_trend_3:0.2875,swh_max:2.541 | swh_max_trend_3:0.179,swh_max:2.105 | swh_max_trend_3:0.2912,swh_max:2.2014 | swh_max_trend_3:0.262
1171,(swh_max_abs_change_3_swan > t1) OR (swh_max_swan > t2),or,2,6,0.8082191780821919,0.60189198506317,0.7342429226406559,0.6545193421520052,0.04716256194949901,0.09788956111798947,0.05428388910488359,0.04722296853166957,swh_max_abs_change_3_swan + swh_max_swan,swh_max_abs_change_3_swan,swh_max_swan,swh_max_abs_change_3:0.7268 | swh_max:2.195,swh_max_abs_change_3:0.5145 | swh_max:1.955,swh_max_abs_change_3:0.3975 | swh_max:2.535,swh_max_abs_change_3:0.658 | swh_max:2.12,swh_max_abs_change_3:0.1125 | swh_max:2.541,swh_max_abs_change_3:0.6625 | swh_max:2.105,swh_max_abs_change_3:0.512 | swh_max:2.2418
1200,(swh_max_abs_change_7_swan > t1) OR (swh_max_swan > t2),or,2,6,0.7995433789954337,0.5786303638792473,0.7618508697287897,0.6535423830618957,0.051654715050574694,0.07204836162799445,0.05657284614216762,0.04675907900465944,swh_max_abs_change_7_swan + swh_max_swan,swh_max_abs_change_7_swan,swh_max_swan,swh_max_abs_change_7:0.7297 | swh_max:2.195,swh_max_abs_change_7:0.581 | swh_max:1.955,swh_max_abs_change_7:0.723 | swh_max:2.1125,swh_max_abs_change_7:0.7215 | swh_max:2.12,swh_max_abs_change_7:0.7225 | swh_max:1.8675,swh_max_abs_change_7:0.72 | swh_max:2.105,swh_max_abs_change_7:0.6996 | swh_max:2.0592
1225,(swh_max_ma_2_swan > t1) OR (swh_max_swan > t2),or,2,6,0.7968036529680366,0.5715850877546284,0.7743239010125005,0.652356509696869,0.049553373147635395,0.06926758128565871,0.09022265122775425,0.0510532568266845,swh_max_ma_2_swan + swh_max_swan,swh_max_ma_2_swan,swh_max_swan,swh_max_ma_2:2.527 | swh_max:2.195,swh_max_ma_2:2.365 | swh_max:1.955,swh_max_ma_2:2.1888 | swh_max:1.9675,swh_max_ma_2:2.2735 | swh_max:2.12,swh_max_ma_2:2.1963 | swh_max:1.8675,swh_max_ma_2:2.261 | swh_max:2.105,swh_max_ma_2:2.3019 | swh_max:2.035
1186,(swh_max_abs_change_5_swan > t1) OR (swh_max_swan > t2),or,2,6,0.7972602739726026,0.5774644881877746,0.7677908821445759,0.6522395268098322,0.053172334714190445,0.05705959405094495,0.10843571397938807,0.0446481381667847,swh_max_abs_change_5_swan + swh_max_swan,swh_max_abs_change_5_swan,swh_max_swan,swh_max_abs_change_5:0.6637 | swh_max:2.195,swh_max_abs_change_5:0.5227 | swh_max:1.955,swh_max_abs_change_5:0.655 | swh_max:1.9675,swh_max_abs_change_5:0.67 | swh_max:2.12,swh_max_abs_change_5:0.6745 | swh_max:1.8675,swh_max_abs_change_5:0.6775 | swh_max:2.287,swh_max_abs_change_5:0.6439 | swh_max:2.0653
31,swh_max_swan > threshold,single,1,6,0.7968036529680366,0.5716359007627584,0.7715461232347227,0.651384008020142,0.049553373147635395,0.06922409379214645,0.09269097907919155,0.0522439859233626,swh_max_swan,swh_max_swan,,swh_max:2.195,swh_max:1.955,swh_max:1.9675,swh_max:2.12,swh_max:1.8675,swh_max:2.105,swh_max:2.035
1236,(swh_max_ma_3_swan > t1) OR (swh_max_swan > t2),or,2,6,0.8004566210045662,0.5882692581252124,0.7514072343458338,0.6506898321984934,0.05568717337911682,0.0653644710095805,0.12078565165832741,0.05035527935634568,swh_max_ma_3_swan + swh_max_swan,swh_max_ma_3_swan,swh_max_swan,swh_max_ma_3:2.4548 | swh_max:2.195,swh_max_ma_3:2.4902 | swh_max:1.955,swh_max_ma_3:2.4625 | swh_max:1.9675,swh_max_ma_3:2.4902 | swh_max:2.12,swh_max_ma_3:2.4653 | swh_max:1.8675,swh_max_ma_3:2.3561 | swh_max:2.287,swh_max_ma_3:2.4532 | swh_max:2.0653
1060,(anom_swh_max_swan > t1) OR (swh_max_swan > t2),or,2,6,0.795433789954338,0.5682477395663317,0.7715461232347227,0.6493445211436134,0.04833285341515704,0.06985406641130001,0.09269097907919155,0.05410224780188115,anom_swh_max_swan + swh_max_swan,anom_swh_max_swan,swh_max_swan,anom_swh_max:0.6848 | swh_max:2.195,anom_swh_max:0.5471 | swh_max:1.955,anom_swh_max:0.687 | swh_max:1.9675,anom_swh_max:0.6825 | swh_max:2.12,anom_swh_max:0.456 | swh_max:1.8675,anom_swh_max:0.6606 | swh_max:2.105,anom_swh_max:0.6197 | swh_max:2.035
856,(anom_swh_max_ma_2_swan > t1) OR (swh_max_swan > t2),or,2,6,0.7949771689497718,0.5680421606827326,0.7715461232347227,0.6490696172300908,0.0491477798469175,0.07025585484489884,0.09269097907919155,0.053678794683403766,anom_swh_max_ma_2_swan + swh_max_swan,anom_swh_max_ma_2_swan,swh_max_swan,anom_swh_max_ma_2:0.6428 | swh_max:2.195,anom_swh_max_ma_2:0.622 | swh_max:1.955,anom_swh_max_ma_2:0.6332 | swh_max:1.9675,anom_swh_max_ma_2:0.6252 | swh_max:2.12,anom_swh_max_ma_2:0.623 | swh_max:1.8675,anom_swh_max_ma_2:0.6207 | swh_max:2.105,anom_swh_max_ma_2:0.6278 | swh_max:2.035
1155,(swh_max_abs_change_14_swan > t1) OR (swh_max_swan > t2),or,2,6,0.8077625570776256,0.5974119055231605,0.7220311399215134,0.6489860319053231,0.04324420297916647,0.09087527822959429,0.044485288272683055,0.052993199083654255,swh_max_abs_change_14_swan + swh_max_swan,swh_max_abs_change_14_swan,swh_max_swan,swh_max_abs_change_14:0.7145 | swh_max:2.195,swh_max_abs_change_14:0.5572 | swh_max:1.955,swh_max_abs_change_14:0.677 | swh_max:2.2925,swh_max_abs_change_14:0.7165 | swh_max:2.12,swh_max_abs_change_14:0.7225 | swh_max:1.9825,swh_max_abs_change_14:0.7183 | swh_max:2.105,swh_max_abs_change_14:0.6843 | swh_max:2.1083
