date,swh_max_swan,event_dummy_5,event_count_5,event_id,event_duration,is_event_start,prediction,prediction_rolling_sum,prediction_event,predicted_event_id,predicted_event_duration,predicted_coverage,is_prediction_start,TP,FP,TN,FN
2018-01-01,1.4475,0,0,0,0,0,0,,0,0,0,0.0,0,0,0,1,0
2018-01-02,1.5550001,0,0,0,0,0,0,,0,0,0,0.0,0,0,0,1,0
2018-01-03,1.4975,0,0,0,0,0,0,,0,0,0,0.0,0,0,0,1,0
2018-01-04,1.4,0,0,0,0,0,0,,0,0,0,0.0,0,0,0,1,0
2018-01-05,1.25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-06,1.02,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-07,1.185,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-08,1.4225,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-09,1.405,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-10,1.335,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-11,1.1899999,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-12,1.4825,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-13,1.685,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-14,1.5375,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-15,1.38,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-16,1.58,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-17,1.6175,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-18,1.5274999,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-19,1.8149999,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-20,1.39,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-21,1.61,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-22,1.62,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-23,1.65,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-24,1.6025001,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-25,1.8525001,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-26,1.775,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-27,1.6200001,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-28,1.5625,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-29,1.7525,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-30,1.7674999,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-01-31,1.9150001,0,0,0,0,0,1,1.0,0,0,0,0.0,0,0,1,0,0
2018-02-01,1.865,0,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,1,0
2018-02-02,1.875,0,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,1,0
2018-02-03,1.9324999,0,0,0,0,0,1,2.0,0,0,0,0.0,0,0,1,0,0
2018-02-04,1.775,0,0,0,0,0,0,2.0,0,0,0,0.0,0,0,0,1,0
2018-02-05,1.4575,0,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,1,0
2018-02-06,1.845,0,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,1,0
2018-02-07,1.8575,0,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,1,0
2018-02-08,1.6825,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-02-09,1.635,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-02-10,2.125,0,0,0,0,0,1,1.0,0,0,0,0.0,0,0,1,0,0
2018-02-11,2.395,0,0,0,0,0,1,2.0,0,0,0,0.0,0,0,1,0,0
2018-02-12,2.3725,0,0,0,0,0,1,3.0,1,0,0,0.0,0,0,1,0,0
2018-02-13,2.0675,0,0,0,0,0,1,4.0,1,0,0,0.0,0,0,1,0,0
2018-02-14,1.6375,0,0,0,0,0,0,4.0,0,0,0,0.0,0,0,0,1,0
2018-02-15,1.6000001,0,0,0,0,0,0,3.0,0,0,0,0.0,0,0,0,1,0
2018-02-16,1.4225,0,0,0,0,0,0,2.0,0,0,0,0.0,0,0,0,1,0
2018-02-17,1.3149999,0,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,1,0
2018-02-18,1.2325001,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-02-19,1.6725,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-02-20,1.9424999,0,0,0,0,0,1,1.0,0,0,0,0.0,0,0,1,0,0
2018-02-21,1.8825,0,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,1,0
2018-02-22,1.845,0,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,1,0
2018-02-23,1.86,0,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,1,0
2018-02-24,1.8399999,0,0,0,0,0,0,1.0,0,0,0,0.0,0,0,0,1,0
2018-02-25,1.6450001,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-02-26,1.455,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
2018-02-27,1.505,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0
